unlock_station_name;geolocation_unlock
241 - Camilo José Cela;{'type': 'Point', 'coordinates': [-3.66779, 40.4378]}
160 - Colombia;{'type': 'Point', 'coordinates': [-3.6763439, 40.4572466]}
184 - Marqués de Zafra;{'type': 'Point', 'coordinates': [-3.6653055, 40.426]}
130 - Santa Engracia 127;{'type': 'Point', 'coordinates': [-3.70164, 40.44156]}
180 - Méndez Álvaro;{'type': 'Point', 'coordinates': [-3.6758888, 40.3941388]}
32 - Plaza de la Provincia;{'type': 'Point', 'coordinates': [-3.7061032, 40.4150099]}
70 - Puerta del Doce de Octubre;{'type': 'Point', 'coordinates': [-3.6779232, 40.4153053]}
133 - Raimundo Fernández;{'type': 'Point', 'coordinates': [-3.7001669, 40.447125]}
62 - O'Donnell;{'type': 'Point', 'coordinates': [-3.6724968, 40.4213148]}
251 - Corazón de María;{'type': 'Point', 'coordinates': [-3.66683, 40.44421]}
179 - Puente de Vallecas;{'type': 'Point', 'coordinates': [-3.66925, 40.3979722]}
87 - Ayala;{'type': 'Point', 'coordinates': [-3.6832566, 40.427736]}
171 - Embajadores-Cáceres;{'type': 'Point', 'coordinates': [-3.6983888, 40.39975]}
195 - Avenida de América 1;{'type': 'Point', 'coordinates': [-3.6754444, 40.4392222]}
84 - Valderribas;{'type': 'Point', 'coordinates': [-3.6726019, 40.4032501]}
85 - Puerta de Madrid;{'type': 'Point', 'coordinates': [-3.680008, 40.421501]}
80a - Atocha A;{'type': 'Point', 'coordinates': [-3.6902255, 40.4075685]}
46 - Ribera de Curtidores;{'type': 'Point', 'coordinates': [-3.7071259, 40.4053153]}
174 - Madrid Río-Yeserías;{'type': 'Point', 'coordinates': [-3.7065277, 40.3974444]}
13 - Conde Duque;{'type': 'Point', 'coordinates': [-3.7104417, 40.4273264]}
118 - Juan Martín;{'type': 'Point', 'coordinates': [-3.6882407, 40.400781]}
223 - Ermita Santo;{'type': 'Point', 'coordinates': [-3.7244893989507686, 40.406837862773465]}
166 - Segovia 26;{'type': 'Point', 'coordinates': [-3.7135833, 40.4138333]}
96 - Castelló;{'type': 'Point', 'coordinates': [-3.6821793, 40.422064]}
57 - Santa Cruz del Marcenado;{'type': 'Point', 'coordinates': [-3.7126299, 40.4295658]}
242 - Avenida Bruselas;{'type': 'Point', 'coordinates': [-3.66301, 40.43865]}
119 - Méndez Álvaro;{'type': 'Point', 'coordinates': [-3.6863218, 40.4013216]}
74 - Puerta del Pacífico;{'type': 'Point', 'coordinates': [-3.6766813, 40.4117627]}
121 - Santa María de la Cabeza;{'type': 'Point', 'coordinates': [-3.6987665, 40.4017926]}
226 - Sierra Toledana;{'type': 'Point', 'coordinates': [-3.6607768678037744, 40.39901531507069]}
111a - Arcipreste de Hita A;{'type': 'Point', 'coordinates': [-3.7175435, 40.4337322]}
185 - Quinta Fuente del Berro;{'type': 'Point', 'coordinates': [-3.6615277, 40.4250833]}
191 - Diego de león;{'type': 'Point', 'coordinates': [-3.674, 40.4346388]}
122 - Santa Engracia 14;{'type': 'Point', 'coordinates': [-3.6967169, 40.4291992]}
231 - Derechos Humanos;{'type': 'Point', 'coordinates': [-3.6557656204708775, 40.43965673033275]}
247 - Zurbano;{'type': 'Point', 'coordinates': [-3.69281, 40.43837]}
69 - Puerta del Ángel Caído;{'type': 'Point', 'coordinates': [-3.688822, 40.409808]}
159 - Paseo de la Habana 63;{'type': 'Point', 'coordinates': [-3.6835926, 40.4543852]}
50 - Museo Reina Sofía;{'type': 'Point', 'coordinates': [-3.6933463, 40.4083684]}
253 - Doctor Fleming;{'type': 'Point', 'coordinates': [-3.68844, 40.45546]}
